,multiple,accuracy,f1-score,modified_accuracy,overhead
0,1.0,0.957550030321407,0.9565947764258159,0.979381443298969,0.0
1,16.0,0.907418637558116,0.9007684014426646,0.9409743278754801,0.07708366741894244
2,32.0,0.8200929856478674,0.8067973431658063,0.8629472407519709,0.18383298588429986
3,48.0,0.7634930260764099,0.749877247968626,0.8093794218718415,0.21623503023970714
4,64.0,0.48574893875075803,0.4664915561498325,0.5197089144936325,0.40368202671307113
5,96.0,0.3856882959369315,0.36942328244433215,0.4008489993935719,0.3678498769038956
6,128.0,0.34202546998180716,0.3052385647621487,0.35738831615120276,0.5097453240876749
