,length,accuracy,f1-score,modified_accuracy,overhead
0,"(128, 256)",0.14473418233272692,0.11123776253703661,0.14493632504548212,0.8474334508006675
1,"(128, 468)",0.048109965635738834,0.02085277476042355,0.048109965635738834,1.7092654441727577
2,"(128, 512)",0.044269254093389936,0.018130960094163973,0.044269254093389936,1.8977129055101694
3,"(256, 468)",0.04730139478471801,0.02936379242080738,0.04730139478471801,2.3304497984760726
4,"(256, 512)",0.0430563978168587,0.02238169686383302,0.0430563978168587,2.518897259813484
